#;Name;Manufacturer;Quantity;Value;Link
1;EEE-FK1C101P;Panasonic;9;100uF;https://www.conrad.de/de/p/panasonic-eeefk1c101p-elektrolyt-kondensator-smd-100-f-16-v-20-x-h-6-3-mm-x-5-8-mm-1-st-443464.html?hk=SEM&gclid=CjwKCAiAzp6eBhByEiwA_gGq5Ix7md9Hd_NHAjI4XdhIlP-p4uGiGgAntnSgKH8WeEw8APGbG24ithoCvGsQAvD_BwE
2;CAP_0805_L;;1;100nF;
3;CAP_0603_M;;10;0.1uF;
4;CAP_0805_M;;27;1nF;
5;EEE-FC1H2R2R;Panasonic;2;2.2uF;https://www.conrad.de/de/p/panasonic-eeefc1h2r2r-elektrolyt-kondensator-smd-2-2-f-50-v-20-x-h-4-mm-x-5-4-mm-1-st-443525.html
6;EEE-HB1H1R0R;Panasonic;2;1uF;https://www.conrad.de/de/p/panasonic-eeehb1h1r0r-elektrolyt-kondensator-smd-1-f-50-v-20-4-00-mm-1-st-tape-cut-1675230.html
7;CAP_0805_M;;9;220nF;
8;CAP_0805_M;;4;100nF;
9;EEE-TP1V101AP;Panasonic;2;1000uF;https://eu.mouser.com/ProductDetail/Panasonic/EEE-TP1V101AP?qs=tqvsmoK%252ByvElxxPQy9I1XQ%3D%3D
10;CAP_0805_L;;4;1nF;
11;Sub-D;180deg;Female;;2
12;BZG03C33TR;Vishay;9;;
13;BZT52H-C5V6,115;Philips/NXP;5;;
14;DIO_1608_L;;9;;
15;LEDSC2_0805(2012;Metric)_L_Green;;3;
16;Klinkenbuchse;;9;;
17;IND_0805_M;;1;10uH;
18;TS;912;;9;
19;IRL540NPBF;International;Rectifier;3;
20;3214X-2-500E;Bourns;9;10K;
21;RES_0603_M;;33;10k;
22;RES_2512_M;;2;50R;
23;RES_0603_M;;15;330R;
24;RES_0603_M;;9;100R;
25;RES_0603_M;;6;1k;
26;RES_0603_M;;1;1.3k;
27;RES_0603_M;;1;200R;
28;RES_0603_M;;1;150R;
29;B3FS-1010;OMRON;3;;
30;TXS0108EPWR;Texas;Instruments;1;
31;ATMEGA2560-16AU;Atmel;1;;
32;ESP8266;12E;;1;
33;Stiftleiste;2x4;;1;
34;IFX007T;;2;;
35;TLP785(GRH-TP6,F);Toshiba;6;;
36;L7805ABP;ST;Microelectronics;1;
37;L7905CV;ST;Microelectronics;1;
38;2er;plugterm;;7;
39;31er;Terminal;(XDC);;1
40;XO91;clock;;1;
